EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20142014333,122,Birchcliffe-Cliffside,-79.278063333,43.688777676,B&E,2014,May
GO-20142015829,168,Downtown Yonge East,-79.378765936,43.6543157680001,THEFT UNDER,2014,May
GO-20149003144,168,Downtown Yonge East,-79.373699879,43.652857032,THEFT UNDER,2014,May
GO-20142022009,78,Kensington-Chinatown,-79.400044769,43.657942329,THEFT UNDER,2014,May
GO-20142020274,73,Moss Park,-79.371435171,43.6613961460001,THEFT UNDER,2014,May
GO-20149003159,74,North St.James Town,-79.379064715,43.671909138,THEFT UNDER,2014,May
GO-20142020883,136,West Hill,-79.1833780699999,43.770420019,THEFT UNDER,2014,May
GO-20142020530,167,Church-Wellesley,-79.380446438,43.6681252050001,THEFT UNDER,2014,May
GO-20142019167,52,Bayview Village,-79.370918138,43.769470928,THEFT UNDER,2014,May
GO-20149003161,165,Harbourfront-CityPlace,-79.394427374,43.6401995730001,THEFT UNDER,2014,May
