X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-79.5242684899999,43.773310967,9261,GO-20212519561,2021/12/31 05:00:00+00,2021/12/31 05:00:00+00,2021,December,31,365,Friday    ,21,2021,December,31,365,Friday    ,19,D31,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,24,Black Creek,24,Black Creek (24),-79.5242684901771,43.7733109667018
-79.3853054639999,43.675362937,9262,GO-20224336,2022/01/01 05:00:00+00,2021/12/05 05:00:00+00,2022,January,1,1,Saturday  ,17,2021,December,5,339,Sunday    ,16,D53,"Apartment (Rooming House, Condo)",Apartment,2130,215,Theft Over - Bicycle,Theft Over,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.3853054635638,43.6753629374591
-79.395498907,43.6550764510001,9263,GO-20225716,2022/01/01 05:00:00+00,2022/01/01 05:00:00+00,2022,January,1,1,Saturday  ,22,2022,January,1,1,Saturday  ,22,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.3954989069204,43.6550764511582
-79.4186619389999,43.729880344,9264,GO-20221817,2022/01/01 05:00:00+00,2022/01/01 05:00:00+00,2022,January,1,1,Saturday  ,7,2022,January,1,1,Saturday  ,6,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.4186619392525,43.7298803436821
-79.3599666709999,43.7529482950001,9265,GO-20228076,2022/01/02 05:00:00+00,2022/01/02 05:00:00+00,2022,January,2,2,Sunday    ,11,2022,January,2,2,Sunday    ,11,D33,Convenience Stores,Commercial,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.3599666713406,43.7529482951486
-79.365011292,43.6610458530001,9266,GO-20229000065,2022/01/02 05:00:00+00,2022/01/01 05:00:00+00,2022,January,2,2,Sunday    ,11,2022,January,1,1,Saturday  ,8,D51,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2130,200,Theft From Mail / Bag / Key,Theft Over,72,Regent Park,72,Regent Park (72),-79.3650112921675,43.6610458526856
-79.291460587,43.7269901430001,9267,GO-20229688,2022/01/02 05:00:00+00,2021/12/28 05:00:00+00,2022,January,2,2,Sunday    ,15,2021,December,28,362,Tuesday   ,18,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.2914605869849,43.7269901432566
-79.347443872,43.659413618,9268,GO-20228066,2022/01/02 05:00:00+00,2022/01/02 05:00:00+00,2022,January,2,2,Sunday    ,11,2022,January,2,2,Sunday    ,11,D55,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.3474438719214,43.6594136177815
-79.394384282,43.673979919,9269,GO-202214116,2022/01/03 05:00:00+00,2021/10/14 04:00:00+00,2022,January,3,3,Monday    ,12,2021,October,14,287,Thursday  ,18,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.3943842818574,43.6739799192164
-79.221176294,43.764087843,9270,GO-20222506279,2022/01/03 05:00:00+00,2021/12/15 05:00:00+00,2022,January,3,3,Monday    ,11,2021,December,15,349,Wednesday ,9,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),-79.221176293833,43.7640878428944
